norm,importance,recency,month_added,last_updated
"Each fisherman should contribute to a collective quota system where each person has a target catch amount, with flexibility built-in for adjustments based on lake conditions",0.0,0.9,0,10
"Each fisherman should aim for an average catch within the range of 10-15 tons, with flexibility built-in for adjustments based on lake conditions",0.8,0.9,1,10
"Each fisherman should track their catch amounts individually and contribute to a collective quota system where each person has a target catch amount, with flexibility built-in for adjustments based on lake conditions",0.8,0.9,2,10
"Each fisherman should track their catch amounts individually and contribute to a collective quota system where each person has a target catch amount, with flexibility built-in for adjustments based on lake conditions",0.8,0.9,3,10
"Each fisherman should track their catch amounts individually and contribute to a collective quota system where each person has a target catch amount, with flexibility built-in for adjustments based on lake conditions",0.8,0.9,4,10
"Each fisherman should track their catch amounts individually and contribute to a collective quota system where each person has a target catch amount, with flexibility built-in for adjustments based on lake conditions",0.8,0.9,5,10
"Each fisherman should track their catch amounts individually and contribute to a collective quota system where each person has a target catch amount, with flexibility built-in for adjustments based on lake conditions",0.8,0.9,6,10
"Each fisherman should aim for a target catch range of 10-15 tons per person, with flexibility built-in for adjustments based on gear efficiency and lake conditions",0.8,0.9,7,10
"Each fisherman should track their catch amounts individually and contribute to a collective ledger spreadsheet where they can share data on gear efficiency, fishing techniques, and lake conditions",0.9,0.9,8,10
"Each fisherman should track their catch amounts individually and contribute to a collective ledger spreadsheet where they can share data on gear efficiency, fishing techniques, and lake conditions",0.9,0.9,9,10
"Each fisherman should track their catch amounts individually and contribute to a collective quota system where each person has a target catch amount, with flexibility built-in for adjustments based on lake conditions",0.8,1.0,10,10
